Spectrum 1,04/19/2025 16:51:30
[Global Parameters]
-145.58059692382813,2424765000
-145.65220642089844,2424766000
-145.56080627441406,2424767000
-145.96449279785156,2424768000
-146.31919860839844,2424769000
-145.16560363769531,2424770000
-145.64810180664063,2424771000
-146.29310607910156,2424772000
-145.75559997558594,2424773000
-145.360595703125,2424774000
-145.2174072265625,2424775000
-145.22200012207031,2424776000
-145.10549926757813,2424777000
-145.34049987792969,2424778000
-145.726806640625,2424779000
-145.39089965820313,2424780000
-145.80169677734375,2424781000
-145.6123046875,2424782000
-145.68699645996094,2424783000
-145.83590698242188,2424784000
-145.04899597167969,2424785000
-145.71029663085938,2424786000
-145.93890380859375,2424787000
-145.83500671386719,2424788000
-145.61369323730469,2424789000
-145.93670654296875,2424790000
-145.39439392089844,2424791000
-145.34950256347656,2424792000
-145,2424793000
-146.03900146484375,2424794000
-145.78489685058594,2424795000
-145.62370300292969,2424796000
-146.08230590820313,2424797000
-145.35200500488281,2424798000
-146.0924072265625,2424799000
-145.0050048828125,2424800000
-145.62739562988281,2424801000
-144.76640319824219,2424802000
-145.3656005859375,2424803000
-145.3533935546875,2424804000
-145.79069519042969,2424805000
-145.82620239257813,2424806000
-145.74429321289063,2424807000
-145.314697265625,2424808000
-145.71200561523438,2424809000
-145.40890502929688,2424810000
-145.57290649414063,2424811000
-145.28250122070313,2424812000
-145.98210144042969,2424813000
-145.59689331054688,2424814000
-144.74420166015625,2424815000
-145.73899841308594,2424816000
-146.06840515136719,2424817000
-146.11489868164063,2424818000
-145.98249816894531,2424819000
-146.1278076171875,2424820000
-145.87240600585938,2424821000
-145.7052001953125,2424822000
-145.98320007324219,2424823000
-145.34219360351563,2424824000
-145.82550048828125,2424825000
-145.95260620117188,2424826000
-145.27690124511719,2424827000
-145.87890625,2424828000
-145.60040283203125,2424829000
-145.62629699707031,2424830000
-145.99020385742188,2424831000
-145.47479248046875,2424832000
-145.39579772949219,2424833000
-145.4595947265625,2424834000
-146.32040405273438,2424835000
-145.41920471191406,2424836000
-146.38290405273438,2424837000
-145.48179626464844,2424838000
-145.70069885253906,2424839000
-145.89190673828125,2424840000
-145.88290405273438,2424841000
-146.71620178222656,2424842000
-145.52639770507813,2424843000
-145.92840576171875,2424844000
-145.96980285644531,2424845000
-145.0823974609375,2424846000
-145.42100524902344,2424847000
-144.83540344238281,2424848000
-145.30509948730469,2424849000
-145.40220642089844,2424850000
-145.5950927734375,2424851000
-145.64320373535156,2424852000
-146.16389465332031,2424853000
-146.30020141601563,2424854000
-146.2196044921875,2424855000
-145.41520690917969,2424856000
-145.61470031738281,2424857000
-145.68310546875,2424858000
-146.08360290527344,2424859000
-145.42129516601563,2424860000
-145.218505859375,2424861000
-145.44819641113281,2424862000
-145.89250183105469,2424863000
-145.77059936523438,2424864000
-145.564697265625,2424865000
-145.41889953613281,2424866000
-145.58470153808594,2424867000
-145.09669494628906,2424868000
-145.74560546875,2424869000
-145.53900146484375,2424870000
-145.45799255371094,2424871000
-145.4425048828125,2424872000
-145.77729797363281,2424873000
-145.74809265136719,2424874000
-145.4425048828125,2424875000
-146.11749267578125,2424876000
-146.189697265625,2424877000
-144.80870056152344,2424878000
-145.52490234375,2424879000
-145.343505859375,2424880000
-145.43299865722656,2424881000
-145.88900756835938,2424882000
-145.31329345703125,2424883000
-145.18099975585938,2424884000
-144.84080505371094,2424885000
-145.14759826660156,2424886000
-145.20539855957031,2424887000
-145.54969787597656,2424888000
-145.38900756835938,2424889000
-146.43409729003906,2424890000
-145.41789245605469,2424891000
-145.21119689941406,2424892000
-145.96270751953125,2424893000
-145.87649536132813,2424894000
-145.47599792480469,2424895000
-145.28439331054688,2424896000
-144.98260498046875,2424897000
-145.04629516601563,2424898000
-144.76350402832031,2424899000
-145.10830688476563,2424900000
-144.82470703125,2424901000
-144.84199523925781,2424902000
-145.33070373535156,2424903000
-145.70829772949219,2424904000
-145.67160034179688,2424905000
-145.46290588378906,2424906000
-145.04359436035156,2424907000
-145.03860473632813,2424908000
-145.53160095214844,2424909000
-145.30250549316406,2424910000
-145.73710632324219,2424911000
-145.80369567871094,2424912000
-144.40950012207031,2424913000
-143.85989379882813,2424914000
-142.647705078125,2424915000
-141.347900390625,2424916000
-140.0155029296875,2424917000
-138.69610595703125,2424918000
-136.80439758300781,2424919000
-136.8258056640625,2424920000
-135.43299865722656,2424921000
-134.09530639648438,2424922000
-132.84480285644531,2424923000
-132.30400085449219,2424924000
